EmpID,JobLevel,WorkingHours,PerformanceRating,WorkExperience,Working_years(samecompany),Years_Since_last_Promotion ,SalaryHike%,Overtime,DailyTravellingtime,PaidLeave,SickLeave,PaternityLeaveIndex,MaternityLeaveIndex,EqualPayIndex,WLB Score
215-25-4321,5,11,2,28,6,19,66,4,0,8,4,5,2,5,53.6
230-74-0663,4,12,0,14,8,3,38,1,3,9,6,0,4,0,31.1
718-41-7618,0,9,0,19,7,5,54,0,1,5,2,4,1,1,46
524-76-7460,1,8,4,35,40,17,35,1,3,9,6,0,3,2,31.6
610-95-5597,3,8,3,28,30,20,82,0,0,9,10,2,1,3,76.8
639-55-4992,5,12,3,12,12,9,15,3,1,4,11,4,5,2,19.2
229-05-6612,0,10,5,8,30,2,88,4,0,4,5,4,1,2,77.8
257-90-7401,2,10,1,36,22,17,81,4,2,9,5,4,2,2,61.9
562-46-2421,3,10,3,34,5,1,90,4,1,3,5,3,3,2,77.3
351-35-0778,7,11,5,22,0,4,24,0,2,12,3,0,0,4,29.2
584-88-6201,6,11,5,4,38,20,17,3,1,4,6,1,2,2,11.5
594-16-9868,1,9,2,40,35,17,25,4,3,6,5,3,2,0,14
390-28-6994,7,10,2,22,2,6,22,4,1,8,4,5,4,0,23.2
472-90-5048,6,9,1,10,21,20,99,4,2,9,12,3,1,2,81.9
117-78-7102,1,11,4,11,29,13,76,4,1,9,9,2,3,3,65.9
344-96-2842,4,8,4,37,27,2,39,1,0,7,7,1,1,2,46.7
242-62-9239,7,11,0,4,31,0,12,4,1,11,0,3,4,4,14.9
834-42-9647,4,8,2,27,21,9,70,0,1,1,5,2,1,3,61.7
796-29-5114,2,11,5,41,7,4,88,4,0,10,6,2,3,5,82.4
334-73-2167,3,8,0,16,1,5,7,0,0,9,2,3,0,0,12.8
664-17-4190,5,8,4,33,23,10,57,3,3,1,6,2,0,2,46.3
550-47-0488,7,12,0,14,3,11,18,3,3,10,12,1,0,3,15.5
586-11-3596,4,10,5,26,11,4,87,3,0,6,2,2,1,1,75.2
458-48-0693,5,10,5,12,12,4,38,3,2,4,12,0,2,1,39.5
787-06-7356,5,11,5,8,12,6,28,0,0,12,7,5,5,4,43
391-92-9519,7,12,1,25,21,0,46,1,2,12,4,5,2,3,46.5
345-98-1858,2,12,1,22,32,3,9,0,3,10,9,5,2,2,15.6
154-06-3551,0,8,4,27,12,4,54,1,1,5,9,1,4,3,57.9
278-89-8725,0,11,5,11,2,6,65,1,1,8,10,1,3,1,62.8
197-17-2683,5,9,4,13,11,3,21,3,2,10,9,3,2,4,32
400-13-1153,6,9,1,22,12,1,51,0,1,8,5,2,0,0,50.1
478-41-6998,6,12,4,26,17,15,56,2,0,1,9,5,5,3,50.8
186-50-5039,1,12,3,22,36,0,16,4,3,2,8,4,4,0,13.6
571-65-5632,4,12,2,1,26,8,65,1,2,0,2,3,1,3,47.2
283-34-1358,3,10,0,19,31,1,68,4,3,6,2,3,5,4,55.7
365-36-3302,0,10,0,35,27,3,67,4,1,1,8,5,1,4,56.6
143-62-7407,0,10,0,30,30,10,20,1,2,7,4,1,4,0,14.3
607-61-0279,5,11,4,39,4,17,44,4,1,0,0,2,5,0,26
148-92-3026,0,12,2,27,19,17,10,4,0,1,4,0,2,4,-1.1
318-99-4524,5,8,4,6,37,9,56,1,2,2,10,4,4,5,59.2
753-81-5593,0,12,4,13,41,10,32,0,2,6,5,3,1,1,26.3
189-62-8701,4,8,5,26,33,11,90,1,1,11,8,2,0,0,84.3
428-80-1324,1,9,2,32,16,12,94,1,3,0,0,1,3,1,67.5
478-76-3092,0,10,2,29,1,5,3,3,3,0,8,1,3,3,2
452-69-4949,0,11,0,24,5,3,67,1,0,7,5,3,1,5,60.6
586-35-1491,7,9,5,20,11,14,11,2,0,6,8,4,1,4,21
834-54-3380,6,12,1,6,40,7,61,2,0,12,11,5,4,1,62
246-54-1644,7,8,5,7,41,1,23,4,1,6,9,5,1,1,34.2
656-10-7361,5,9,5,6,32,2,30,3,1,2,12,4,5,3,41.5
744-65-3632,3,12,3,2,27,8,20,2,0,11,11,2,1,3,27
500-60-2795,7,12,4,38,3,20,66,3,0,11,7,2,2,3,56.3
209-04-7708,1,10,3,0,25,8,42,3,0,3,3,3,0,5,36.1
636-51-8497,2,8,5,14,42,17,13,1,1,4,9,5,0,1,18.2
239-87-7567,4,8,5,2,29,11,15,4,3,7,3,4,5,2,17.2
630-73-5302,2,8,0,13,34,8,73,4,0,7,4,1,2,3,61.9
676-41-7739,4,12,0,26,38,2,12,0,1,9,12,1,3,0,19.7
134-46-9257,1,9,4,30,26,12,33,3,2,8,0,0,1,5,25.8
529-38-6435,3,11,2,32,3,9,97,4,0,4,5,1,0,2,75.5
559-18-3764,7,11,2,41,42,13,71,0,1,9,5,5,1,4,64.2
555-15-5878,0,8,5,24,2,1,88,4,1,10,0,5,2,3,81.3
131-57-1352,3,9,4,31,32,3,87,0,0,7,5,5,3,4,87.3
164-86-0190,7,10,1,19,30,18,20,3,1,2,1,3,3,4,10.7
198-64-5501,5,8,5,31,6,20,58,3,1,12,10,4,0,5,59.2
431-37-9124,7,11,2,6,22,20,96,4,0,7,4,3,3,4,75.8
848-97-9758,1,11,2,32,2,12,63,1,2,0,4,1,5,0,44.9
593-77-6491,3,8,2,25,16,9,33,4,2,10,11,1,4,5,38.7
722-22-8739,7,11,4,1,40,2,41,3,2,12,12,2,3,3,49
448-21-2214,1,10,4,16,18,8,52,3,3,2,9,2,3,4,45.3
795-15-2468,3,9,4,26,25,0,49,3,2,8,6,4,3,3,52.2
118-22-6720,2,10,5,26,5,13,18,0,0,3,9,5,1,4,25.9
330-15-6617,7,12,0,33,14,4,76,4,0,12,0,2,4,1,62
484-27-0972,0,9,5,25,17,13,49,3,3,7,0,5,5,1,39.3
329-91-2039,1,12,0,25,3,20,11,3,1,12,0,1,5,2,0.5
574-74-4682,7,11,1,10,34,1,69,3,2,12,3,2,1,4,61.2
170-14-0264,4,11,3,32,24,14,57,3,1,4,12,2,1,5,50.8
408-08-5520,0,11,5,34,21,14,67,2,3,0,8,2,1,3,50.7
504-45-4507,2,12,3,1,4,11,74,3,3,3,4,4,1,0,51.5
198-22-5301,0,8,2,7,13,14,96,0,1,3,0,2,2,2,75.9
407-30-2939,1,11,2,41,38,16,37,1,2,5,9,5,1,2,30.5
519-79-0683,4,10,4,33,12,8,74,4,0,7,4,3,4,4,67.4
357-83-1063,3,12,3,2,6,3,15,3,2,9,11,3,4,5,24
765-18-8140,4,9,5,41,34,15,41,4,2,0,10,0,4,0,33
370-75-4782,1,11,0,39,1,7,72,4,3,3,6,0,0,4,50.4
313-59-6109,1,12,4,37,33,12,2,2,3,4,6,3,2,3,-0.5
164-46-5907,7,9,5,2,35,8,99,1,0,4,4,3,3,2,90.3
543-40-8270,3,11,0,10,41,8,93,4,3,1,11,0,2,3,70.6
175-62-7902,5,10,5,6,35,6,7,2,1,11,10,3,0,3,20.9
527-70-1704,3,11,2,6,24,10,28,3,3,5,5,3,4,1,19.9
555-23-6510,5,9,5,11,16,5,78,2,0,1,9,2,2,0,72.9
859-73-9122,6,10,0,34,42,3,34,2,0,7,5,3,0,5,35.8
698-29-5169,7,10,0,5,9,19,90,4,2,5,9,1,4,0,67.4
362-66-9071,5,8,4,22,15,19,11,4,1,3,6,1,4,4,11.3
831-91-2014,4,10,2,11,34,6,79,1,3,1,11,5,0,3,69.3
799-38-4399,5,11,3,32,9,15,44,3,3,8,4,1,4,5,34.4
167-09-4862,4,11,4,32,26,5,87,0,2,11,0,2,1,1,73.9
647-04-4562,7,9,5,7,14,20,57,3,1,7,4,4,4,2,50
419-52-3930,6,10,4,35,22,16,72,4,1,1,0,3,0,4,51.7
798-05-2130,5,12,3,12,23,19,67,1,1,12,10,1,2,2,58.4
385-25-2292,2,10,3,32,23,19,31,1,0,7,6,4,5,2,30.6
651-30-0088,4,11,3,2,11,17,28,0,1,3,6,4,1,0,21.7
133-42-0510,2,12,3,28,16,12,19,3,3,0,6,4,2,1,8.1
678-71-7439,1,8,3,5,5,15,10,1,2,8,1,0,2,3,8.6
264-52-8973,7,12,1,4,24,17,55,0,3,11,3,2,0,1,39
418-48-8275,7,8,4,32,3,9,19,3,0,6,0,1,5,1,21.4
401-88-9557,2,10,1,26,18,12,58,3,1,0,11,5,0,1,46.7
504-49-4983,2,11,1,28,1,18,97,3,2,11,2,2,2,5,73.5
274-76-9035,6,12,4,2,8,10,39,3,0,6,8,2,1,0,34.5
603-71-9347,4,12,0,3,4,8,7,3,2,7,11,3,3,2,8.5
420-77-6886,7,12,4,33,26,14,43,0,1,8,9,3,0,5,43.3
705-40-4194,7,12,5,24,42,9,61,4,0,1,1,2,4,5,49.5
576-87-3402,5,12,1,15,13,2,1,4,1,0,9,2,0,3,0.9
386-73-5299,0,11,4,3,34,1,76,3,0,1,2,0,1,1,60
868-35-7590,5,12,4,21,40,12,9,4,0,5,11,0,5,5,14.6
525-24-5050,7,11,1,33,21,13,29,3,0,6,10,0,5,0,26.6
358-05-0361,6,9,3,34,4,8,61,3,3,2,5,2,5,3,51.8
284-29-1287,3,12,0,32,35,12,48,3,1,6,7,5,4,5,40.6
871-21-2249,5,9,0,40,20,9,52,2,0,2,12,2,4,4,52.1
377-79-9044,5,8,2,35,10,15,79,4,2,1,12,1,1,2,64.6
747-90-3567,7,10,3,25,36,10,51,0,1,11,1,2,3,5,50.3
295-25-7944,7,10,1,41,32,9,44,1,2,7,5,0,5,5,41.4
782-01-7863,3,12,3,33,31,20,96,2,0,0,7,5,1,2,73.1
532-70-2357,0,10,0,39,28,1,83,1,1,7,10,1,0,1,73.8
285-64-9249,3,10,3,15,19,13,36,4,1,4,11,3,5,4,36.1
762-12-2041,3,10,0,12,17,20,34,1,2,2,5,3,0,0,18
823-16-4890,5,8,3,42,33,0,50,0,2,7,10,2,5,0,57.9
533-42-3925,6,10,4,35,26,18,86,4,0,8,11,5,1,5,78.9
136-62-5979,5,10,0,31,14,17,10,3,2,12,1,5,2,1,4.6
214-75-4726,0,9,0,3,33,0,27,1,1,10,2,5,3,0,29.9
536-23-1025,0,11,3,21,18,0,73,2,1,1,7,0,4,5,65.3
364-51-2149,5,9,4,2,36,13,50,1,2,9,6,1,3,1,46.7
167-12-8749,5,9,1,12,26,15,45,2,1,4,8,5,3,3,41.5
262-58-4226,2,11,2,23,37,11,94,0,3,7,5,5,0,2,75.9
687-83-7547,2,11,0,2,22,20,96,4,1,8,12,4,1,2,75.8
250-95-2808,7,10,5,22,41,16,55,1,0,3,0,0,1,3,43.5
493-65-9637,2,12,5,2,41,11,34,4,3,8,0,3,5,2,23.4
572-36-2000,0,8,3,26,35,13,87,3,2,7,0,3,1,3,68.5
466-19-6333,7,11,2,26,12,6,23,4,3,11,10,2,3,5,27.2
509-54-1760,0,8,3,37,37,8,87,0,3,11,4,5,0,4,79.7
556-65-2319,5,9,1,29,0,4,68,0,3,4,4,3,3,4,60.9
359-74-8299,5,11,2,28,30,16,43,4,1,8,3,5,2,2,32.3
325-16-7676,5,10,4,30,31,10,37,0,2,10,10,4,1,4,43.9
521-92-8743,1,9,3,5,20,16,33,2,0,10,5,3,0,3,31.9
173-93-6495,5,9,2,0,19,6,72,1,0,0,4,1,3,0,61.1
324-47-8320,0,9,2,41,12,20,100,3,3,10,3,3,2,1,74.8
633-22-5059,3,8,2,11,9,3,25,4,0,0,7,2,4,2,27.6
237-16-6876,3,8,4,26,0,9,43,0,2,11,8,4,0,3,49.3
668-24-3934,3,10,5,12,2,8,20,3,0,10,3,5,2,2,25.6
327-23-7903,4,11,2,32,8,12,78,3,3,7,2,4,2,0,56.7
715-73-2897,1,8,2,12,6,3,58,0,2,9,0,4,1,3,54.7
132-49-0271,4,8,1,8,23,11,93,4,1,8,1,3,0,2,74
392-37-9512,0,12,5,26,39,7,94,3,0,3,10,1,4,2,81.6
850-14-5585,1,12,0,10,8,6,38,4,0,7,8,4,0,2,31.7
790-67-0041,1,9,0,10,40,11,73,3,2,0,9,3,1,5,58.5
680-96-6640,6,12,5,16,39,10,46,4,2,1,6,5,2,2,36.2
494-62-6460,6,10,4,29,9,15,71,1,0,8,10,2,0,2,66.4
183-30-9487,3,11,0,39,13,17,85,4,3,8,6,2,2,2,60.4
798-72-7287,0,9,3,18,24,9,1,4,0,4,10,0,4,3,8.3
711-28-5073,6,10,5,41,14,9,14,1,0,0,4,1,4,5,19.1
812-04-2085,2,10,2,26,17,5,5,2,2,12,3,1,1,0,6.7
493-16-1044,3,9,1,21,33,15,71,3,2,8,10,3,4,0,60.4
192-20-8060,7,9,1,42,25,13,15,1,0,1,10,5,4,1,20.7
866-24-5295,2,8,5,30,25,18,49,0,1,1,6,4,0,0,42.1
447-82-9302,6,9,1,3,40,3,40,2,2,10,9,3,1,0,42.2
482-90-4861,1,9,1,21,42,20,56,3,3,4,0,2,5,3,35.5
333-62-4074,4,12,2,15,38,12,40,2,1,5,9,2,0,5,34.4
103-32-4044,3,12,4,3,9,17,3,0,2,12,5,4,3,1,5.9
611-17-0205,3,8,4,35,32,9,51,2,3,6,5,3,5,2,48.3
330-91-2555,2,11,2,17,5,17,38,2,3,7,6,2,1,1,24.8
304-91-8646,0,12,1,6,9,2,19,3,3,0,2,1,0,3,5.7
208-23-7002,1,10,4,38,40,16,19,1,0,8,4,3,0,2,18.6
229-67-2707,0,9,4,35,18,1,71,2,0,12,6,5,0,3,73.7
801-12-6636,6,8,0,24,10,1,8,4,0,10,5,3,2,5,19.8
538-20-1796,0,10,4,30,27,1,82,0,2,4,9,2,4,5,79.8
158-29-2860,0,10,1,41,13,13,81,3,2,8,12,3,3,5,71.5
733-33-6186,0,9,4,22,35,10,81,0,0,3,9,2,3,2,75.7
525-72-1409,7,12,5,13,18,12,82,3,3,12,0,5,3,5,68.4
166-84-4221,5,9,1,8,24,1,38,3,2,0,9,0,3,1,34.3
578-02-1282,6,12,2,9,35,4,1,2,1,7,4,0,4,3,4.8
258-85-5441,4,12,5,37,10,6,47,4,0,8,6,4,1,5,46.5
637-92-0719,3,12,3,3,25,6,3,0,2,10,1,1,3,1,4.2
658-05-9229,5,12,4,6,14,3,18,2,3,2,9,0,3,4,18.7
495-14-5207,5,12,5,24,27,5,15,0,3,3,7,3,0,3,16.8
212-32-2051,1,10,5,31,37,11,12,2,3,4,7,2,2,3,12.2
346-58-0431,1,9,3,19,12,15,64,3,0,6,3,2,0,3,51.5
291-54-8639,3,10,0,26,24,14,68,0,2,7,8,5,0,1,56.6
462-72-6866,7,10,1,24,27,2,98,0,3,10,1,2,0,4,83.8
469-88-5275,5,8,0,15,10,20,62,4,2,11,11,4,0,5,55
430-17-4208,3,8,5,34,16,5,15,2,2,12,6,1,0,3,24.9
204-63-4494,4,10,2,14,14,15,98,4,3,0,10,0,5,5,76.7
626-16-5630,1,8,4,13,25,8,89,4,3,3,2,1,5,5,73.1
865-52-5098,7,8,2,32,16,20,21,1,1,3,9,2,0,2,19.9
252-04-7983,7,11,4,38,34,18,91,2,0,10,4,4,4,2,78.6
515-98-0132,6,11,2,14,33,20,46,3,3,7,12,3,0,3,36
554-99-0016,6,12,1,8,8,16,92,3,1,7,1,4,5,1,68.7
772-94-7811,1,10,2,40,28,16,18,3,0,6,7,2,4,4,18
100-12-1951,3,11,4,26,28,0,83,2,3,8,3,3,3,5,74.4
709-34-5213,5,11,4,33,39,15,70,1,2,5,12,2,3,5,64.5
175-22-7355,2,9,2,38,8,5,16,4,2,6,0,0,1,4,11
370-68-5457,5,8,0,37,42,14,78,3,3,1,8,1,3,2,59.9
691-88-9138,4,9,4,31,38,18,83,2,1,0,12,4,1,4,72.8
524-97-5501,2,11,1,0,8,15,50,4,2,9,0,1,2,0,29.4
169-32-9462,0,9,4,36,6,15,76,0,3,6,1,2,3,1,59.4
262-48-2206,7,8,4,36,34,16,73,1,2,4,8,5,1,3,66.9
566-16-2972,3,9,2,24,31,9,21,3,1,6,3,4,5,5,23.8
441-06-0271,7,10,3,26,31,13,78,0,3,2,1,3,3,1,59.8
896-19-3876,5,9,1,18,6,19,92,3,0,7,2,1,5,1,71.9
472-11-6007,4,8,3,36,14,4,23,1,1,12,8,5,1,2,36.6
337-38-9197,1,8,3,16,37,16,1,2,2,9,10,1,5,0,7.9
115-25-3643,4,11,1,42,6,7,55,2,0,9,11,3,3,3,55.9
866-63-5166,1,10,0,23,2,15,86,3,3,3,1,2,1,5,58.7
875-05-2675,5,9,3,0,7,1,86,1,0,5,2,0,3,4,79.4
549-43-6004,5,11,4,37,10,8,32,3,2,12,6,1,4,4,34.1
612-31-8021,4,9,1,4,34,7,96,0,2,1,10,5,5,4,88.4
426-45-8501,6,12,4,21,9,15,20,0,3,12,3,2,0,3,16.7
384-97-9669,0,12,2,34,18,5,13,3,2,6,1,0,0,4,4.8
150-37-6953,7,9,2,15,29,18,75,2,3,10,6,5,5,1,64.4
863-16-6112,2,10,3,40,1,3,90,1,0,4,8,5,1,2,83.8
657-17-2381,2,10,2,31,28,9,75,3,3,0,7,5,5,5,62.4
725-75-3484,3,9,2,12,23,8,26,2,2,3,7,4,5,0,25.8
410-60-1192,0,8,0,39,19,10,4,4,2,11,1,5,0,1,1.9
854-02-6880,7,9,1,31,22,2,15,1,2,9,0,1,3,2,17.7
172-28-2140,1,11,1,35,41,13,46,2,3,8,3,3,4,5,35.3
594-37-0723,0,9,5,27,24,14,70,4,2,12,12,3,1,3,66.4
834-79-1280,3,8,5,1,8,4,75,2,2,5,12,3,3,4,77.7
578-29-9188,3,8,4,10,32,9,9,2,0,0,1,0,2,3,9.5
525-78-9124,6,10,0,38,16,14,28,0,1,0,4,3,5,0,20.7
123-86-8716,5,8,2,6,0,8,98,3,1,0,7,1,4,3,83.8
191-96-9509,7,12,3,21,41,12,68,3,2,3,3,5,5,5,54.9
429-18-4640,4,11,4,34,13,15,34,1,1,1,10,3,2,1,30.1
483-79-3924,3,12,1,12,0,20,91,1,0,1,0,1,2,3,62.1
219-69-0207,6,9,1,31,23,12,57,0,0,4,12,3,2,2,57.3
157-95-7174,1,9,5,27,11,20,55,2,3,9,4,4,3,1,44.6
326-98-1789,0,9,5,13,15,7,17,0,0,8,11,1,3,4,32.4
582-62-0322,5,9,5,34,37,14,49,0,3,3,12,0,4,4,49.3
702-06-5748,4,8,1,22,19,18,39,0,0,5,9,3,1,2,38.4
738-99-9946,6,10,4,20,5,5,23,3,0,6,11,0,5,1,31.5
782-80-8456,3,12,0,9,7,8,46,0,1,12,8,2,1,0,41.6
864-27-5270,2,9,3,26,24,10,31,2,0,8,9,1,2,2,34.9
598-06-8298,5,8,3,42,36,4,76,1,1,12,4,4,4,4,78.7
642-28-7620,0,8,1,12,32,2,56,4,0,1,4,3,0,2,47.4
609-31-9496,6,9,2,40,21,20,57,3,1,0,1,0,4,3,38.4
191-37-5036,3,9,3,28,13,5,32,4,1,4,1,3,1,0,25.2
107-02-8934,4,9,3,30,22,15,57,0,3,0,6,3,4,0,45.3
508-19-0880,7,11,0,25,34,3,64,0,0,2,6,2,4,2,58.3
761-17-2166,1,9,3,25,6,3,47,2,0,2,2,2,4,1,42.8
284-79-0359,7,11,0,34,13,20,41,4,0,0,1,0,1,5,20.9
801-77-0203,1,8,0,2,14,11,95,1,2,8,5,4,2,5,82.6
307-85-6982,2,8,1,15,35,2,80,2,0,4,10,0,3,5,78.1
673-54-5412,1,9,3,2,16,6,38,0,3,4,0,2,2,1,30.2
584-07-8731,0,10,2,12,16,19,93,1,0,6,7,1,3,3,76.5
486-33-9498,7,11,1,23,2,12,10,1,2,3,12,0,5,4,13.7
217-12-7640,3,11,1,35,1,8,56,1,1,10,6,0,0,1,47.1
636-47-2971,1,11,0,21,26,11,65,3,3,5,0,4,2,2,42.5
734-06-6084,0,10,2,18,18,13,52,3,1,12,9,0,5,4,49.5
428-72-1057,5,10,5,19,24,11,1,2,3,1,2,1,5,2,-0.7
217-69-5619,5,8,5,30,12,14,79,4,3,6,0,4,4,1,62.9
491-20-1481,5,10,4,27,14,16,45,4,2,0,4,5,4,2,33.1
483-57-5306,1,9,4,12,24,16,79,0,1,5,6,3,5,1,69.8
418-87-4976,4,10,5,12,19,13,19,0,3,1,12,5,3,1,23.1
617-62-6012,3,11,4,13,23,1,21,3,1,5,12,1,0,4,27.9
744-59-3260,7,8,4,40,10,6,15,4,1,2,7,3,0,0,17.8
147-80-3468,6,8,2,24,17,12,48,0,0,4,8,0,1,5,49.1
149-91-6646,6,11,0,40,17,10,23,0,0,11,0,1,4,2,21.7
708-62-4732,3,8,5,8,1,2,26,3,3,12,1,0,1,2,27.9
774-64-2039,4,12,5,18,39,17,71,1,2,11,0,1,0,3,53.7
426-40-1257,5,10,2,42,5,18,50,4,1,8,4,3,4,0,37.8
225-72-3771,4,11,0,3,27,14,50,1,0,7,4,3,0,0,37.8
809-50-8532,2,11,1,4,35,17,58,0,2,6,8,2,2,4,47.2
708-23-1891,6,10,2,10,34,6,4,4,0,8,7,5,2,5,14.7
799-96-3248,4,12,3,15,8,3,81,4,0,0,0,3,2,2,61.5
777-63-0779,2,8,5,22,12,5,96,3,1,1,8,4,5,0,87.5
203-54-4188,6,10,1,15,11,0,11,0,1,7,7,1,1,5,21.6
217-14-5700,3,10,1,2,37,2,66,1,1,8,7,1,0,4,61.9
207-77-4286,4,8,4,33,24,18,77,2,1,10,4,5,3,2,69.5
332-97-3396,4,8,2,4,14,12,18,3,0,5,1,3,3,1,16.4
888-22-9769,7,11,1,3,23,13,5,4,3,12,4,5,3,2,3.8
799-50-3958,2,11,2,3,26,1,82,4,1,1,5,5,5,0,67.9
578-97-3617,2,10,2,4,39,14,28,4,0,1,12,2,0,4,24.8
199-44-2309,7,10,5,8,33,12,28,2,2,5,12,0,1,4,31.3
611-42-2054,6,8,3,2,13,14,61,3,0,2,10,2,2,2,56.3
281-76-1769,3,9,5,35,12,12,73,3,0,0,4,4,1,3,61.8
207-29-9869,0,8,2,34,25,17,15,3,0,7,8,1,2,0,14.6
259-83-6371,2,10,5,38,5,8,0,2,0,2,7,5,3,0,8
800-69-1195,1,11,4,26,17,5,15,4,1,6,5,0,1,3,13.7
269-81-0423,0,10,2,18,15,12,24,0,2,1,5,5,0,0,16.8
628-85-2005,2,11,3,10,1,9,12,3,1,11,10,4,4,4,21.6
115-82-0382,4,12,4,27,30,16,24,2,2,12,11,0,0,2,22.6
872-02-4633,5,12,5,13,30,1,39,0,3,2,0,0,4,4,33.1
498-07-3382,4,11,1,17,6,17,98,1,3,6,2,5,0,2,71.6
670-62-5541,6,10,1,21,5,7,87,1,2,9,6,5,0,5,78.5
855-23-8727,7,12,3,23,11,12,65,4,0,2,8,4,5,1,54.4
771-04-2292,3,8,0,14,17,15,77,4,0,5,1,3,5,1,59.9
860-40-4548,6,9,4,30,41,1,86,4,3,6,10,4,4,2,81.5
231-16-2290,5,11,4,21,32,10,75,2,0,5,7,0,4,1,65.5
690-89-4227,3,9,1,11,18,3,91,0,3,10,10,2,5,0,85.4
487-15-1653,6,9,5,25,27,14,57,3,1,7,7,5,4,1,55
800-60-6852,6,8,3,8,38,6,22,3,3,2,1,1,1,4,17.6
287-16-5697,0,8,5,22,37,20,29,1,2,7,11,0,3,1,29.6
284-18-7736,0,10,5,16,19,16,22,3,2,2,3,5,1,1,13.2
657-47-8633,7,12,2,34,32,0,17,2,3,11,10,2,5,1,24.5
896-50-9731,1,9,1,22,12,0,1,4,0,12,1,5,3,2,10.4
690-14-7494,5,12,5,11,35,10,21,3,1,7,1,2,2,3,17
568-46-1417,3,11,1,25,17,6,65,2,0,1,4,2,5,3,54.3
146-11-2216,1,11,1,34,3,2,66,1,3,0,11,0,2,0,53
752-42-9683,5,8,4,3,30,9,67,1,0,6,10,4,2,4,71.5
721-31-7227,2,12,3,10,36,14,47,1,1,3,6,0,0,1,32.9
121-03-0975,1,11,0,40,31,8,8,0,2,1,7,5,4,3,8.9
536-33-5474,6,8,5,33,3,11,92,4,3,2,2,5,5,3,76.9
885-79-2836,3,8,3,15,38,15,11,4,2,3,4,0,0,2,4.2
659-30-6182,0,10,0,27,25,7,33,1,3,0,8,5,0,0,23.7
557-15-7260,1,12,2,21,12,16,59,1,3,10,12,5,0,3,50.6
708-23-3087,2,12,5,38,9,17,47,0,0,2,2,4,0,2,35.3
400-57-4895,2,12,2,30,22,5,55,2,0,7,8,2,4,5,53.6
629-23-0509,0,11,5,4,13,12,76,3,2,3,8,0,0,2,58.6
738-53-1801,5,11,4,2,19,2,27,4,2,1,8,2,5,0,25.4
622-50-4713,1,8,0,39,30,17,76,2,3,2,6,2,1,5,57.2
232-56-6994,1,10,4,32,30,11,94,4,3,11,3,0,5,4,76.9
268-33-7711,7,11,0,17,38,10,56,2,1,10,0,5,4,0,45.1
862-85-1813,5,9,3,6,25,17,92,2,1,8,9,5,5,0,82.4
289-98-8288,4,11,2,15,25,3,90,1,2,9,12,3,5,0,84.9
746-09-0361,1,8,1,35,11,14,72,1,2,3,5,0,0,0,53.6
694-92-6648,7,10,3,23,1,15,98,4,2,8,12,3,0,1,82.5
374-64-4598,6,10,3,33,30,1,49,4,3,7,8,3,2,1,45.9
394-68-8315,7,11,3,9,20,4,84,1,1,0,5,3,4,4,74.2
333-03-8881,0,10,0,13,4,20,0,3,0,12,5,5,4,2,1.7
679-13-9397,1,8,1,12,18,0,77,0,0,5,10,1,1,3,77.2
593-05-3117,0,9,2,4,14,17,85,3,1,7,4,5,2,2,68.2
617-77-8859,0,9,0,39,18,11,88,2,1,4,9,3,0,5,74.6
642-21-3948,2,10,5,34,18,6,21,0,2,9,10,1,0,1,28.1
432-19-6900,1,11,2,3,16,2,38,4,0,3,3,0,2,3,30.3
332-82-0828,5,10,3,33,30,16,32,0,1,7,4,5,3,1,30.5
220-11-3599,4,8,1,38,1,3,3,0,1,4,3,3,3,3,12.1
642-42-7300,6,12,1,25,41,14,69,0,1,6,12,5,2,5,64.4
581-36-0165,2,11,2,21,35,19,18,0,3,4,2,2,2,1,5.6
370-09-5430,0,11,4,42,27,3,17,4,0,10,8,1,3,1,22.7
217-67-6336,0,12,2,3,21,10,28,1,1,6,5,0,1,4,21.8
738-27-4454,3,10,5,0,11,0,47,1,1,9,2,5,2,4,51.9
809-05-0982,4,10,5,34,16,20,58,0,1,12,10,1,0,3,56
216-25-1621,1,11,0,25,23,4,97,4,1,11,4,5,3,5,83.6
743-37-3142,7,8,4,39,33,16,16,4,0,2,2,5,2,3,15.6
154-49-8131,2,10,3,26,5,1,87,3,2,2,2,3,5,2,72.4
611-11-7075,2,11,0,4,26,18,54,3,2,0,3,1,3,3,30.9
208-19-8476,1,11,5,3,36,5,99,1,3,1,6,4,5,5,86.2
638-38-0183,6,11,2,40,36,15,5,0,1,6,6,3,3,0,6.3
826-86-4058,7,12,1,42,27,15,10,4,2,2,10,2,5,1,4.3
349-62-5965,0,11,4,16,36,9,30,3,0,11,12,5,1,5,39
162-84-5143,1,9,3,13,28,14,34,3,1,12,12,3,4,5,41.7
720-81-9868,7,12,0,40,6,20,69,3,1,11,5,5,1,3,52.8
552-97-0806,4,8,3,38,9,5,77,3,2,8,9,5,3,0,73.8
893-70-0234,5,10,5,15,10,7,84,3,2,9,0,3,3,2,71.3
563-02-8418,4,8,4,40,41,14,95,3,0,7,5,3,2,5,85.6
641-63-6206,5,9,4,17,38,0,68,4,1,6,1,1,4,3,62
649-56-6281,7,8,5,16,32,19,86,2,0,7,11,4,0,2,81
451-49-5357,1,10,3,9,18,11,42,4,3,8,0,4,3,0,28.5
461-07-9792,6,12,1,6,9,18,78,4,3,11,7,0,4,4,58.7
177-04-6313,5,8,4,13,7,20,65,1,1,11,8,0,2,2,60.5
746-95-1270,7,10,1,26,41,20,69,3,2,10,0,4,4,0,49.8
