EmpID,Diversity and Inclusion Index,WorkPlace Equality Index,Accesibility Index,COC Effect,Hygiene and Work Environment Metrics,Yearly Health Workshops,DEI Workshops,Reacreational Activities Time Min,Corporate Wellness Metrics
812-04-2085,3,19,3,1,1,4,6,68,15.87
493-16-1044,2,16,1,0,5,5,2,94,19
192-20-8060,15,5,2,1,5,3,3,51,13.62
866-24-5295,15,3,4,1,5,2,6,43,12.28
447-82-9302,20,16,3,0,2,6,2,7,10.41
482-90-4861,14,10,2,1,2,9,7,78,18.83
333-62-4074,7,18,5,1,3,3,9,90,20.45
103-32-4044,3,13,4,0,0,5,3,20,7.35
611-17-0205,12,5,4,1,3,2,2,107,21.11
330-91-2555,6,2,1,0,1,6,10,66,13.05
304-91-8646,18,13,0,0,1,5,8,4,8.66
208-23-7002,4,5,1,1,5,6,3,33,8.34
229-67-2707,17,7,5,0,0,5,7,28,11.15
801-12-6636,20,5,4,0,3,7,9,0,7.81
538-20-1796,8,19,2,1,0,4,3,48,13.76
158-29-2860,13,19,1,1,4,1,5,81,20.13
733-33-6186,15,20,2,0,0,3,9,35,13.92
525-72-1409,1,19,1,0,4,5,7,59,14.24
166-84-4221,19,12,4,1,0,6,5,55,16.64
578-02-1282,1,16,0,0,2,4,1,97,18.63
258-85-5441,17,1,4,0,4,3,10,48,13.26
637-92-0719,12,16,5,0,3,6,4,28,11.97
658-05-9229,11,15,1,1,3,10,5,109,23.73
495-14-5207,16,3,4,0,3,11,5,92,20.37
212-32-2051,7,14,1,1,0,4,7,43,11.86
346-58-0431,13,20,0,1,4,11,10,30,13.73
291-54-8639,15,3,1,1,2,2,5,3,5.6
462-72-6866,1,5,3,0,3,10,5,16,5.43
469-88-5275,4,8,2,0,2,4,2,117,21.03
430-17-4208,16,11,1,0,1,3,8,39,12.93
204-63-4494,17,7,4,0,2,3,5,68,16.99
626-16-5630,6,8,2,1,1,11,9,28,9.1
865-52-5098,10,19,1,1,3,2,2,48,14.26
252-04-7983,5,17,2,0,1,1,7,52,13.2
515-98-0132,14,4,0,1,4,5,6,78,17.24
554-99-0016,2,11,5,1,1,9,8,77,16.12
772-94-7811,17,19,4,0,4,7,10,22,13.32
100-12-1951,6,9,4,0,0,9,9,103,20.41
709-34-5213,15,16,5,0,2,11,1,115,25.96
175-22-7355,6,7,2,1,2,9,4,3,4.83
370-68-5457,15,5,2,1,2,5,8,98,20.77
691-88-9138,7,17,3,0,3,12,4,116,24.46
524-97-5501,15,4,2,1,2,1,8,41,11.66
169-32-9462,12,5,0,1,1,8,5,112,21.93
262-48-2206,7,3,5,1,4,5,9,37,9.79
566-16-2972,19,8,2,0,5,11,4,5,9.04
441-06-0271,7,14,2,1,3,11,2,117,23.77
896-19-3876,10,19,0,1,2,4,2,45,13.78
472-11-6007,5,1,5,0,0,1,7,23,5.84
337-38-9197,8,20,1,1,2,5,4,90,20.52
115-25-3643,7,17,2,1,2,5,8,103,21.92
866-63-5166,2,15,2,0,3,3,1,14,6.45
875-05-2675,7,6,3,1,2,2,6,49,11.35
549-43-6004,15,7,3,0,2,4,1,24,9.68
612-31-8021,11,8,3,1,5,11,1,82,18.59
426-45-8501,18,9,5,1,5,8,6,108,24.62
384-97-9669,12,4,5,1,5,12,2,68,16.28
150-37-6953,3,6,5,1,0,1,10,74,14.19
863-16-6112,8,15,1,1,3,10,2,29,10.83
657-17-2381,5,16,0,1,2,2,7,0,5.25
725-75-3484,17,5,1,1,4,2,1,11,7.72
410-60-1192,15,16,4,0,1,9,5,106,24.42
854-02-6880,1,19,5,0,4,9,7,13,8.1
172-28-2140,17,8,0,1,3,10,7,107,23.53
594-37-0723,2,12,3,0,3,5,3,117,21.68
834-79-1280,12,13,4,0,4,8,9,11,9.26
578-29-9188,9,9,1,0,5,8,8,20,8.82
525-78-9124,5,18,3,0,4,2,7,14,8.22
123-86-8716,1,4,1,1,2,11,10,113,19.86
191-96-9509,2,17,1,1,4,7,3,114,22.37
429-18-4640,14,2,0,0,0,5,1,82,16.7
483-79-3924,11,14,3,1,2,8,3,74,18.09
219-69-0207,8,9,0,0,1,10,1,51,12.51
157-95-7174,11,3,3,0,5,9,6,114,22.41
326-98-1789,8,2,2,0,3,2,9,19,6.41
582-62-0322,1,7,5,1,3,10,4,69,13.98
702-06-5748,8,11,4,1,5,5,1,117,23.25
738-99-9946,20,19,1,1,1,5,1,86,22.46
782-80-8456,11,8,1,0,1,3,6,50,12.63
864-27-5270,12,9,0,0,5,5,2,119,23.75
598-06-8298,14,17,1,0,4,6,8,110,24.88
642-28-7620,2,7,4,1,0,8,2,100,18.17
609-31-9496,14,5,2,1,2,3,7,76,16.99
191-37-5036,13,2,5,1,2,3,9,35,10.39
107-02-8934,11,10,3,0,3,5,4,14,8.13
508-19-0880,15,4,0,1,0,2,8,44,11.78
761-17-2166,14,5,2,1,2,5,5,29,10.02
284-79-0359,6,11,5,0,4,12,7,108,22.27
801-77-0203,3,12,2,0,2,1,8,25,7.81
307-85-6982,16,18,2,0,5,2,1,47,15.63
673-54-5412,15,10,1,0,4,5,1,82,19.09
584-07-8731,15,9,5,0,2,1,2,28,10.66
486-33-9498,6,5,2,0,4,6,5,75,15.18
217-12-7640,15,12,0,1,3,4,7,2,7.54
636-47-2971,3,11,3,0,3,6,8,41,10.67
734-06-6084,6,14,4,0,2,1,5,2,5.56
428-72-1057,4,5,4,0,4,5,8,93,17.64
217-69-5619,4,15,4,0,4,6,4,13,7.53
491-20-1481,4,13,3,0,1,3,7,21,7.78
483-57-5306,15,18,3,0,5,12,3,112,26.23
418-87-4976,6,4,5,0,3,5,10,29,8.43
617-62-6012,6,16,2,1,4,5,2,66,15.84
744-59-3260,13,15,3,0,0,10,10,13,9.9
147-80-3468,4,16,1,0,4,5,2,33,10.24
149-91-6646,16,2,4,0,5,8,6,112,23.17
708-62-4732,16,14,2,0,3,7,8,117,25.91
774-64-2039,13,8,0,0,0,8,8,17,8.52
426-40-1257,12,6,3,0,3,8,2,24,9.25
225-72-3771,10,18,3,0,3,2,3,107,23.11
809-50-8532,14,8,2,0,4,3,5,104,21.86
708-23-1891,10,13,3,0,2,5,3,91,19.87
799-96-3248,8,16,2,0,0,7,3,118,23.88
777-63-0779,10,10,4,0,4,12,4,27,10.67
203-54-4188,1,11,1,0,5,1,7,31,8.19
217-14-5700,18,12,4,1,5,5,5,40,14.6
207-77-4286,11,18,5,0,4,10,10,74,19.79
332-97-3396,9,8,1,0,1,12,9,87,18.64
888-22-9769,9,19,5,1,0,5,10,35,12.8
799-50-3958,5,15,0,0,1,9,4,20,8.37
578-97-3617,5,8,4,0,4,10,8,28,9.19
199-44-2309,13,7,2,0,0,9,7,108,22.21
611-42-2054,3,18,2,1,2,11,8,16,8.61
281-76-1769,4,4,5,1,3,7,4,97,18.06
207-29-9869,3,12,2,0,2,10,6,10,6.27
259-83-6371,1,15,0,0,4,12,3,40,10.92
800-69-1195,14,6,3,0,1,1,3,42,11.65
269-81-0423,18,17,3,1,2,5,9,60,18.37
628-85-2005,16,16,1,1,3,9,6,21,11.94
115-82-0382,12,18,1,0,2,10,3,81,20.12
872-02-4633,12,3,3,1,0,11,2,106,20.94
498-07-3382,3,19,4,0,1,12,7,81,18.64
670-62-5541,15,7,0,1,0,8,10,44,13.02
855-23-8727,16,12,5,0,3,6,7,74,19.22
771-04-2292,16,11,3,0,1,7,4,62,16.74
860-40-4548,17,14,1,0,3,7,6,25,12.16
231-16-2290,3,3,0,0,3,11,7,48,10.22
690-89-4227,4,4,2,0,0,9,5,35,8.31
487-15-1653,4,18,1,0,3,10,1,98,20.68
800-60-6852,15,11,4,0,5,2,6,116,24.78
287-16-5697,5,9,0,0,0,1,9,109,19.94
284-18-7736,6,14,3,0,3,7,1,78,17.31
657-47-8633,15,20,5,1,2,6,10,75,20.81
896-50-9731,2,17,5,0,3,5,10,106,21.58
690-14-7494,13,8,3,0,2,11,6,109,23.01
568-46-1417,2,14,1,0,2,1,2,117,21.36
146-11-2216,7,10,4,1,2,2,6,3,5.35
752-42-9683,8,11,0,0,5,1,3,101,20.14
721-31-7227,15,9,2,0,5,7,6,88,20.43
121-03-0975,14,5,1,1,1,4,5,34,10.47
536-33-5474,13,19,4,0,1,12,2,50,16.24
885-79-2836,19,15,2,1,0,10,5,105,24.9
659-30-6182,18,1,5,1,0,4,3,32,10.56
557-15-7260,10,18,4,1,4,8,10,112,25.01
708-23-3087,12,8,1,0,4,7,3,67,15.97
400-57-4895,4,8,0,0,0,7,5,57,12.03
629-23-0509,7,6,0,0,4,4,5,91,17.65
738-53-1801,12,1,5,0,3,12,7,47,12.51
622-50-4713,2,8,4,1,0,7,6,96,17.88
232-56-6994,13,19,4,0,4,7,1,108,24.77
268-33-7711,15,2,2,1,5,1,7,110,21.89
862-85-1813,1,16,0,0,2,10,9,2,5.32
289-98-8288,6,5,0,0,0,9,5,82,15.86
746-09-0361,3,16,0,0,4,12,2,116,22.97
694-92-6648,5,13,4,0,2,5,5,41,11.32
374-64-4598,13,20,2,1,1,12,6,10,10.49
394-68-8315,1,2,5,0,1,8,1,116,19.43
333-03-8881,10,20,0,0,4,3,10,49,15.06
679-13-9397,5,3,1,0,1,8,7,32,7.93
593-05-3117,14,20,3,1,1,3,10,54,16.83
617-77-8859,15,17,5,1,5,8,4,75,20.42
642-21-3948,8,1,4,1,5,11,5,24,8.04
432-19-6900,3,10,0,1,4,8,4,10,5.66
332-82-0828,17,17,4,1,0,2,2,102,23.68
220-11-3599,7,1,1,1,2,11,7,70,14.16
642-42-7300,5,8,3,0,3,8,10,39,10.55
581-36-0165,20,7,4,0,4,4,5,56,16.25
370-09-5430,2,3,4,0,0,9,4,80,14.51
217-67-6336,13,9,1,0,1,4,8,53,13.97
738-27-4454,8,6,3,1,2,11,3,34,10.01
809-05-0982,5,18,5,0,2,11,3,59,15.56
216-25-1621,13,4,0,1,5,1,2,12,6.64
743-37-3142,13,20,2,1,4,11,9,92,23.18
154-49-8131,16,3,3,0,3,12,1,9,7.71
611-11-7075,9,13,3,1,5,10,6,52,14.75
208-19-8476,19,7,1,0,5,1,9,88,20.54
638-38-0183,8,12,0,0,0,2,1,114,21.73
826-86-4058,12,5,4,0,5,4,8,2,6.01
349-62-5965,19,2,3,0,2,11,2,114,23.86
162-84-5143,16,5,4,0,5,6,2,55,14.84
720-81-9868,8,19,3,1,0,2,9,15,9.03
552-97-0806,15,9,2,1,1,6,1,19,9.35
893-70-0234,4,20,3,1,3,11,2,65,16.52
563-02-8418,16,8,1,0,2,8,10,50,14.64
641-63-6206,8,10,3,0,0,6,4,65,14.79
649-56-6281,11,7,3,0,5,1,10,38,11.29
451-49-5357,6,2,3,1,0,6,5,31,7.69
461-07-9792,15,13,4,1,4,9,6,105,24.1
177-04-6313,13,16,1,1,2,1,10,5,8.16
746-95-1270,19,18,5,0,1,6,8,22,13.2
773-11-7229,11,5,5,1,1,9,10,11,7.37
859-17-2497,10,7,2,0,2,4,1,66,14.63
494-25-0065,5,19,4,0,4,11,8,37,12.83
337-75-8903,5,4,0,1,2,2,10,66,12.9
594-07-3860,19,16,0,0,3,7,10,27,13.46
555-02-1494,2,14,0,1,0,10,2,106,20.25
727-36-3574,17,2,4,0,2,5,7,91,19.72
134-53-5575,15,1,2,1,4,11,3,118,23.48
579-63-0045,7,9,5,1,5,6,4,8,6.59
722-78-0913,12,19,1,0,1,12,2,65,17.94
420-29-1948,17,9,2,1,3,2,9,85,20.01
141-48-5122,5,7,2,1,5,2,5,62,13.18
794-86-7247,8,1,0,1,1,1,9,21,6.05
775-38-3670,7,5,4,0,4,1,6,97,18.53
377-78-1917,5,9,5,1,4,9,3,50,12.5
749-20-7280,15,7,1,0,0,5,4,3,6.35
519-08-6667,1,14,2,0,0,8,9,82,16.72
593-45-4394,2,17,3,0,3,11,6,20,8.82
800-30-0204,5,4,2,0,5,2,1,61,12.18
603-90-5815,2,14,3,1,5,7,8,103,20.68
887-29-8128,18,11,2,0,0,6,1,51,15.14
318-62-6604,9,20,4,1,3,11,9,59,17.32
753-72-1954,15,13,4,0,5,3,10,26,11.97
605-76-9919,14,5,1,0,2,3,10,104,21.19
768-92-8424,9,5,5,0,5,6,8,47,12.29
630-38-4410,18,16,0,1,3,3,2,3,8.9
416-14-6393,17,5,3,1,3,11,4,92,20.92
667-64-4755,5,9,3,0,0,4,7,8,5.26
536-87-3633,12,20,3,1,2,5,5,13,10.22
547-20-6065,15,2,2,1,3,8,7,112,22.6
529-98-7186,15,3,1,0,0,4,5,107,21.11
779-25-4836,7,10,2,1,1,2,6,35,9.84
256-07-6432,2,19,5,1,1,1,1,87,18.15
158-26-8724,15,18,3,0,2,1,1,112,24.81
787-51-1316,11,4,0,1,1,5,5,89,17.76
642-25-7754,15,17,0,0,1,3,3,10,9.18
755-60-9788,15,1,4,1,0,10,7,82,17.95
631-06-6493,14,10,3,0,5,7,2,60,16.08
828-17-0672,2,16,5,1,1,11,9,119,23.65
202-27-1756,5,17,3,1,0,5,5,32,10.5
723-13-6437,13,16,5,0,2,3,3,20,10.59
217-33-4098,3,6,5,1,1,4,8,62,12.67
630-68-6446,6,6,4,0,0,12,4,83,16.83
481-90-0850,18,14,1,1,2,2,5,22,11.4
858-33-7960,4,17,5,1,4,8,1,6,7.06
192-50-3199,14,15,3,0,3,10,4,15,10.48
324-90-4078,16,1,1,0,0,1,6,36,10.09
494-47-8475,11,20,1,0,4,6,5,47,15.13
251-65-4992,15,7,5,1,1,6,9,13,8.75
787-86-7382,14,4,1,0,4,11,1,27,9.93
580-46-3530,9,3,0,0,5,3,7,61,13.17
751-70-3991,2,13,3,0,0,2,8,79,15.83
717-88-3084,15,11,2,1,5,4,3,30,11.76
211-99-2561,14,6,3,0,0,12,8,90,19.98
895-09-7414,8,1,4,1,0,7,3,29,7.78
325-53-1251,8,12,1,1,2,9,2,82,17.98
373-52-5906,19,5,3,1,2,6,3,37,12.56
383-17-9722,12,18,3,1,3,12,8,30,13.26
110-28-0674,15,19,0,1,2,12,9,43,15.8
193-56-3595,6,13,2,1,0,7,6,58,13.98
506-70-6802,9,9,4,0,1,4,8,32,10.12
190-27-5331,14,5,4,0,1,6,1,74,16.7
151-96-7538,8,19,1,0,1,8,9,66,17.08
467-38-1171,2,2,0,1,3,11,1,72,13.12
203-33-9753,3,6,0,0,1,10,7,33,8.26
185-39-8015,3,7,4,0,5,7,5,69,14.33
313-08-9678,10,8,0,0,4,7,5,39,11.27
602-11-7100,2,1,5,1,5,6,7,99,17.54
453-82-0553,12,13,3,1,2,9,7,102,22.63
843-08-7046,14,13,1,1,4,6,4,29,11.78
150-21-3930,13,1,5,1,1,5,6,17,7.41
781-91-5379,18,19,3,0,2,4,9,18,12.33
606-17-5760,8,10,3,0,4,2,10,69,15.77
135-71-4371,9,9,4,0,3,3,4,48,12.45
888-51-6281,20,13,4,0,2,3,7,22,12.14
273-12-4359,1,2,2,0,0,6,2,40,7.49
202-56-1568,17,9,4,1,3,6,5,36,13.02
548-40-3319,15,16,5,1,4,8,9,71,19.76
424-85-6288,13,20,2,1,5,12,3,102,24.58
823-16-8935,1,11,4,1,5,1,5,87,16.84
391-65-1832,16,20,4,0,3,2,8,19,12.16
743-45-9060,5,4,1,1,3,9,9,118,21.49
530-29-7473,6,18,3,0,3,1,9,77,17.82
592-83-5922,16,5,5,1,5,4,5,40,12.71
513-31-9742,1,9,1,1,3,5,6,69,13.63
844-71-4538,13,10,1,1,1,4,2,38,11.67
268-50-0737,15,3,4,1,4,4,5,13,7.8
601-64-0800,12,3,2,1,5,6,1,14,7.09
472-04-3327,12,2,4,1,4,9,1,57,13.7
404-49-8509,13,10,1,0,2,4,5,89,19.53
129-13-2000,10,15,2,1,2,9,4,100,21.98
431-81-7853,3,9,3,0,5,5,7,90,17.7
492-44-7332,12,7,2,1,5,2,2,83,17.93
873-58-9689,12,20,1,1,1,4,7,8,9.17
152-89-1103,19,12,2,0,5,12,5,63,18.68
615-80-7068,4,20,0,1,1,8,4,88,19.28
899-82-0144,9,16,4,1,0,11,2,74,18.09
470-53-0897,13,15,5,1,2,8,3,25,11.64
595-17-2729,12,16,3,0,2,4,3,96,21.63
811-30-9692,13,1,3,1,3,7,5,94,19.11
554-61-1993,5,10,4,1,4,6,10,103,20.63
209-82-9382,14,15,4,0,4,4,9,28,12.35
665-63-5935,11,7,0,1,5,5,8,85,18.35
837-47-2160,9,9,5,1,2,3,3,86,18.14
641-24-3292,12,16,0,0,5,5,2,46,14.2
183-63-5022,16,18,4,0,3,3,10,72,19.9
761-56-6331,5,17,3,0,0,11,8,116,23.74
645-08-6914,2,10,0,0,2,5,5,15,5.67
545-07-0885,9,12,4,0,0,11,1,102,21.39
124-97-7216,16,10,2,0,5,7,1,97,21.98
389-63-9822,13,3,1,1,3,9,7,44,12.09
332-16-2019,4,8,2,1,2,4,5,113,20.63
106-82-9003,4,10,3,0,1,9,2,119,22.17
836-29-0100,20,7,4,1,3,6,4,64,17.52
443-29-8463,9,16,1,1,3,4,8,48,13.89
442-63-2299,19,3,2,1,5,9,1,93,20.96
324-75-8283,18,13,5,1,4,5,2,50,16.14
881-85-3665,10,18,4,1,4,9,4,40,14
244-14-8288,18,4,0,1,2,6,5,70,16.86
299-75-4444,15,12,4,0,5,7,7,80,20.08
253-91-2039,16,6,0,1,4,5,10,12,8.44
321-13-3127,2,14,0,0,2,1,10,9,5.46
217-32-6079,8,8,3,1,5,2,4,50,12.38
830-44-4101,4,9,3,1,0,4,9,40,9.96
543-29-5998,14,12,5,0,0,6,8,13,9.29
524-28-4003,13,7,2,1,5,11,5,96,21.09
182-87-0920,2,7,3,1,0,8,1,75,14.27
834-68-3191,12,8,4,0,4,4,3,89,19.3
711-68-8981,11,10,1,0,0,1,9,81,17.54
502-49-3276,11,5,0,0,2,4,3,30,8.98
270-76-4825,12,9,2,1,0,1,4,76,16.74
113-96-4627,10,17,5,1,3,2,9,48,14.61
614-07-9913,16,9,3,0,4,2,4,108,23.12
273-89-0030,17,19,0,0,5,4,7,82,21.61
258-03-4759,3,18,3,0,4,7,4,112,22.72
555-74-5914,9,2,4,0,5,3,8,117,21.82
769-09-6746,20,11,5,1,4,7,3,28,13.17
873-64-6629,9,4,2,0,5,9,1,94,18.76
576-60-0141,18,9,4,1,2,9,10,49,15.63
849-55-1000,4,11,0,0,2,9,1,78,15.98
529-60-9983,18,8,3,0,5,3,1,48,14.47
714-44-0636,2,2,3,1,0,10,9,90,16.1
195-87-7803,13,4,2,1,0,1,7,28,8.94
827-70-4178,13,19,0,0,5,6,2,78,19.94
277-82-0955,1,5,2,1,5,12,7,14,5.58
504-10-3149,11,2,4,0,3,6,2,66,14.42
258-11-3668,4,15,5,0,4,11,2,29,10.38
605-26-9572,14,6,0,1,1,4,2,1,5.47
540-46-8694,16,13,4,0,3,2,5,72,18.56
520-42-1963,13,19,3,0,1,8,4,15,10.63
750-12-2770,14,10,5,0,3,10,4,12,9.23
623-84-4932,17,20,3,1,2,8,3,6,10.59
830-36-0615,15,9,5,1,2,4,9,76,18.53
889-31-2206,8,20,4,1,3,5,3,69,17.73
545-07-6926,8,11,5,0,1,2,5,119,23.09
177-03-6051,3,4,2,0,1,3,10,120,20.63
123-07-3061,5,8,5,0,0,5,4,82,16.3
199-32-9596,16,8,5,0,5,2,5,38,12.78
537-81-3844,15,3,3,0,3,8,7,37,11.6
701-09-8034,10,11,1,1,1,9,4,70,16.47
805-86-4981,1,7,4,0,1,5,8,79,14.86
164-62-0864,19,7,4,0,2,1,2,57,15.51
555-49-0367,15,18,2,0,4,12,8,10,10.97
447-77-7417,11,8,4,1,2,2,10,90,19.2
865-73-1884,1,2,4,0,1,5,1,105,17.41
873-69-7312,4,13,5,0,2,5,8,24,8.77
851-06-8816,18,12,1,1,2,3,5,70,18.29
496-88-1873,20,17,1,1,4,2,5,72,20.22
533-14-0286,17,16,2,1,3,8,8,111,25.8
867-93-4453,12,1,1,1,4,2,10,30,8.97
594-93-7129,2,4,0,0,2,4,5,81,14.28
132-89-5737,3,16,5,1,3,11,7,38,11.87
764-65-2236,20,1,3,1,5,2,4,98,21.18
452-51-7540,20,13,5,1,4,11,7,92,23.73
103-87-6019,2,4,1,1,0,6,2,102,17.39
521-75-8902,13,6,2,0,1,6,3,61,14.6
538-62-1223,2,18,1,0,3,8,1,84,17.9
578-99-0034,19,5,0,0,5,5,6,20,10.05
824-03-2298,20,4,0,0,4,2,8,1,6.97
118-87-2614,17,18,2,0,0,9,7,21,12.36
622-60-8770,1,5,2,0,1,1,1,68,11.9
578-76-7162,6,18,0,1,2,12,3,1,6.75
270-28-7512,13,1,3,0,0,11,3,67,14.94
785-31-9335,15,20,0,1,3,7,7,71,19.76
476-55-7289,2,20,1,1,0,10,6,51,13.5
877-61-8759,20,6,3,0,4,1,4,60,16.23
504-93-7588,18,17,3,0,3,7,9,20,12.61
437-69-7457,16,18,5,1,5,3,1,37,14.57
438-51-1619,13,19,4,1,1,6,3,44,14.9
370-82-6833,18,13,2,1,3,6,2,33,13.27
151-57-6392,6,4,1,1,1,7,10,71,14.34
770-79-7988,9,13,4,1,2,7,2,67,16.3
693-64-7636,20,14,1,0,2,11,8,92,23.31
312-04-3741,2,9,3,0,1,12,7,102,19.44
527-71-0137,20,18,1,1,4,7,7,68,20.37
347-85-4527,1,6,2,1,5,3,9,12,4.77
515-36-4152,8,12,5,1,0,11,9,117,23.94
447-73-5967,12,6,1,0,1,4,6,47,12.12
226-59-8851,17,2,1,0,0,5,4,102,20.7
739-17-4672,1,18,2,0,5,5,3,64,14.8
712-86-5644,3,12,1,1,3,10,1,46,11.48
205-86-9457,14,20,0,1,2,6,1,100,23.36
116-06-0398,19,14,1,1,0,9,8,5,9.66
662-22-6978,7,3,3,0,2,12,2,118,21.75
360-16-7951,6,14,3,1,0,1,5,13,6.94
701-07-5591,20,6,1,0,3,5,2,115,24.43
577-26-9575,20,2,1,1,5,7,6,31,11.68
221-09-4531,10,12,4,0,1,2,4,96,20.19
556-38-8051,8,6,3,0,5,8,8,72,15.97
448-12-2809,16,15,2,0,2,3,2,52,15.59
620-01-0297,9,19,1,1,5,9,4,27,11.81
670-91-4349,4,1,3,1,1,4,5,25,6.02
797-77-3099,4,10,2,1,5,3,5,22,7.62
782-45-9981,15,20,2,1,0,10,6,11,10.85
723-38-6457,11,3,5,0,3,9,1,116,22.44
539-84-4291,2,11,2,0,3,11,1,34,9.37
667-85-6949,9,14,5,1,5,1,2,109,22.69
773-07-7036,5,1,4,1,5,1,9,45,9.74
745-40-3540,7,13,2,0,3,10,10,101,21.43
759-41-8167,13,20,1,1,5,8,3,62,18.12
291-98-8724,17,5,5,0,2,8,7,59,15.89
183-17-9122,18,7,2,0,1,5,3,97,21.36
237-89-8091,18,18,0,0,0,6,9,28,13.29
711-52-6344,19,10,5,0,0,8,5,93,22.17
589-73-0183,1,15,0,1,0,8,6,35,9.57
438-49-1509,11,12,4,0,2,12,8,29,11.6
306-37-9255,8,7,5,0,5,5,4,95,19.35
494-70-8243,16,20,3,1,5,3,5,1,9.57
197-72-7370,4,16,3,0,3,8,5,102,21.1
882-90-0870,6,12,4,0,3,8,6,102,20.95
472-93-9619,13,13,2,1,1,4,3,61,15.87
677-57-0543,6,11,0,1,1,9,10,94,19.27
738-09-9095,15,14,4,0,4,6,7,102,23.58
420-59-1333,11,18,0,1,0,1,10,64,16.59
296-14-4615,1,15,2,1,4,5,4,101,19.74
677-51-6289,17,18,0,0,3,10,8,49,16.83
626-83-7786,1,19,1,0,0,9,8,86,18.26
799-70-1586,3,18,1,0,1,2,1,49,12.14
463-22-7198,9,15,2,0,1,4,6,4,6.82
338-83-0333,9,14,2,0,1,3,10,7,7.18
292-32-2113,2,18,0,1,3,2,1,5,5.46
874-89-7666,18,1,4,0,1,2,9,34,10.94
425-98-1688,2,13,1,1,5,12,9,33,10.28
596-10-0187,2,12,4,1,1,10,1,40,10.41
615-72-8723,4,3,2,0,4,5,10,87,16.24
333-66-0570,7,15,5,0,5,4,1,55,14.46
267-36-1194,2,2,4,1,1,4,3,79,13.82
487-26-4286,5,15,4,0,2,9,7,68,16.23
632-43-0728,15,16,3,0,3,2,8,95,22.41
715-63-8780,15,13,5,1,0,1,4,51,14.84
412-87-5302,9,6,3,0,2,8,4,83,17.34
618-06-0191,9,8,0,1,5,1,5,96,19.19
712-54-4168,1,11,5,0,4,1,4,13,5.63
483-82-7755,4,19,3,1,5,3,6,36,11.67
484-88-9224,10,15,3,1,0,11,1,110,23.39
621-34-5264,7,11,0,1,4,10,1,109,21.74
158-80-9540,14,18,5,0,3,1,9,52,16.27
749-95-3173,20,9,3,1,2,6,5,120,26.16
410-61-8578,7,18,2,0,5,6,8,117,24.59
784-40-0431,20,17,1,0,2,11,5,108,26.16
140-76-0311,20,2,1,1,4,1,9,68,16.73
667-26-8163,13,17,2,1,3,9,5,38,13.99
615-78-4484,3,10,4,0,4,12,9,50,12.62
430-27-2899,11,19,0,0,3,2,6,116,24.76
755-19-5143,14,5,3,1,2,9,1,78,17.63
356-77-4221,6,18,2,1,0,10,4,120,24.45
112-21-3307,12,10,0,1,2,12,7,98,21.4
715-54-1544,15,20,1,1,5,1,8,61,18.09
275-59-1270,4,7,2,0,2,1,1,13,4.91
490-21-2853,20,11,0,0,1,11,9,85,21.5
733-67-8569,19,15,1,1,5,7,5,39,15.18
630-40-7221,6,10,3,0,4,10,8,24,9.14
617-43-7561,10,16,5,1,1,5,1,0,6.86
264-67-3688,3,20,0,0,3,11,7,87,19.47
410-03-9733,12,13,5,0,2,8,2,47,14.19
157-57-7399,7,18,0,1,5,7,9,10,8.53
590-76-4265,3,12,2,1,5,1,2,96,18.54
566-86-3629,3,17,0,1,0,5,9,80,17.1
229-13-1288,5,10,2,0,5,1,2,27,8.24
350-80-4743,9,8,0,1,5,11,4,107,21.69
159-49-0972,3,17,5,0,5,6,1,106,21.69
171-06-0244,15,6,4,0,4,12,6,99,22.02
127-83-8346,17,16,5,1,0,5,7,51,16.45
168-49-0814,8,14,3,1,3,5,10,63,15.88
381-68-8275,12,3,1,1,3,3,10,50,12.35
757-76-1777,4,7,5,1,1,5,4,54,11.81
586-11-7292,17,11,4,1,0,6,10,62,17.24
777-95-8591,12,2,3,0,4,6,10,107,21.23
415-28-9279,4,10,4,1,5,12,2,54,13.28
573-56-8778,19,13,4,0,4,10,6,28,13.59
