EmpID,Country,DOUHC,Life Expectancy,Racial and Ethinic Equality,Happines Index,Pollution Index,GDP Per Capita,Population Density,Regional Quality of Life Score
408-08-5520,Indonesia,4,57,55,3,130,6484.18,78,910.7
504-45-4507,Indonesia,6,59,38,8,49,4919.52,88,260.8
198-22-5301,Colombia,1,59,62,4,32,10380.35,97,359
407-30-2939,Vietnam,4,61,74,8,26,8647.8,55,243.2
519-79-0683,Ireland,0,75,57,3,84,11342.08,69,1029.2
357-83-1063,Armenia,4,53,49,4,101,1999.88,47,218.5
765-18-8140,China,6,64,63,8,121,2378.46,99,311.3
370-75-4782,Vietnam,0,74,44,7,54,7583.49,17,442.4
313-59-6109,Burkina Faso,7,53,47,2,89,1188.43,20,114.7
164-46-5907,Ukraine,4,58,60,5,108,2647.12,60,309.1
543-40-8270,Palestinian Territory,7,77,55,4,86,597.61,100,56
175-62-7902,Ireland,4,57,47,6,18,9835.43,70,191.5
527-70-1704,Sweden,3,59,31,8,79,8799.26,53,751
555-23-6510,Georgia,5,59,67,2,29,3030.86,87,95.3
859-73-9122,United States,6,56,31,9,90,9492.87,94,923.1
698-29-5169,China,1,64,30,10,93,6689.84,98,672.2
362-66-9071,Netherlands,7,55,46,7,191,9578.25,89,1976.3
831-91-2014,China,1,80,40,1,160,7733.91,23,1336.6
799-38-4399,Sierra Leone,7,64,76,5,112,10298.28,42,1246.2
167-09-4862,China,2,54,32,7,176,4664.64,71,886.9
647-04-4562,Philippines,5,61,66,0,34,4912.91,82,180.8
419-52-3930,China,7,61,69,3,147,1263.55,73,201.1
798-05-2130,Philippines,4,71,36,2,159,4180.87,65,718.3
385-25-2292,China,5,58,65,6,161,1331.51,79,231.9
651-30-0088,Indonesia,7,55,77,2,159,1249.44,53,215
133-42-0510,Philippines,4,68,61,4,108,5693.74,61,664.5
678-71-7439,Canada,1,81,66,6,137,1613.46,76,239
264-52-8973,Portugal,6,76,30,4,162,3055.67,29,535.1
418-48-8275,Indonesia,7,71,55,5,129,7101.5,100,989.9
401-88-9557,Latvia,1,55,74,2,140,8715.51,58,1318
504-49-4983,Ukraine,1,82,73,8,105,10310.05,90,1169.4
274-76-9035,Philippines,7,60,75,10,79,439.17,76,38
603-71-9347,Japan,4,67,72,2,57,10460.25,41,644.3
420-77-6886,Croatia,6,56,34,6,185,9256.19,34,1849.8
705-40-4194,Ireland,5,68,48,5,39,7849.67,7,331
576-87-3402,Portugal,6,69,71,3,10,4010.11,88,43.8
386-73-5299,Russia,3,54,33,5,36,10951.18,97,426.1
868-35-7590,Azerbaijan,6,84,72,10,200,2705.9,36,585
525-24-5050,Vietnam,4,53,54,8,173,7884.26,75,1473.4
358-05-0361,Czech Republic,3,57,83,4,143,9683.17,91,1495.8
284-29-1287,China,7,71,76,3,9,3256.11,83,32.2
871-21-2249,China,0,70,46,10,88,6384.06,2,606.9
377-79-9044,China,3,55,39,7,135,10475.07,92,1527.6
747-90-3567,Colombia,6,72,69,0,76,6655.12,33,546.7
295-25-7944,Sweden,0,69,45,1,147,3606.89,72,572.8
782-01-7863,Poland,6,72,65,3,82,4468.67,83,396.2
532-70-2357,Thailand,5,72,74,0,55,3168.6,65,188.6
285-64-9249,Jordan,6,83,82,8,163,9134.33,8,1608.5
762-12-2041,Finland,6,74,81,1,20,5615.85,56,121.8
823-16-4890,Portugal,6,74,61,6,131,8642.62,21,1223.2
533-42-3925,China,2,80,45,8,156,5744.99,88,968.2
136-62-5979,Poland,2,59,82,2,108,7077.19,14,825.7
214-75-4726,Tunisia,6,76,44,7,174,2276.02,22,428.1
536-23-1025,Argentina,6,68,65,10,71,7858.16,62,603
364-51-2149,Honduras,7,82,79,10,59,10735.64,26,684.6
167-12-8749,Colombia,6,59,32,5,52,1694.64,76,95.6
262-58-4226,Sweden,0,78,60,9,171,4527.89,81,836.4
687-83-7547,Greece,7,75,45,10,30,10436.85,27,338.6
250-95-2808,Greece,2,70,37,0,59,1866.69,70,119.2
493-65-9637,Argentina,2,81,61,0,74,2057.03,81,164.7
572-36-2000,Portugal,5,68,41,0,62,4161.29,21,279
466-19-6333,Ghana,3,53,42,0,68,5004.09,34,367.8
509-54-1760,France,3,57,37,9,86,10119.06,80,940.2
556-65-2319,China,7,66,51,4,127,10761.68,61,1476.6
359-74-8299,Philippines,7,59,38,9,36,4442.38,69,173.2
325-16-7676,Greece,2,69,62,7,3,9854.75,32,32.2
521-92-8743,Pakistan,0,70,36,8,115,11255.6,5,1398.1
173-93-6495,France,7,61,68,0,130,5211.47,86,732.2
324-47-8320,Argentina,0,53,31,10,103,10719.84,31,1192.6
633-22-5059,Indonesia,4,84,71,5,118,6878.91,89,877.1
237-16-6876,Philippines,7,85,81,8,21,4166.79,59,95
668-24-3934,Indonesia,5,54,58,9,66,5683.36,40,405.5
327-23-7903,United States,2,70,82,6,58,7622.99,96,477.8
715-73-2897,Ethiopia,1,54,66,10,71,4635.57,48,355.7
132-49-0271,Norway,5,82,85,7,30,9973.28,65,323.6
392-37-9512,China,1,63,42,6,147,2187.99,42,347.6
850-14-5585,Vietnam,3,80,44,5,58,754.78,10,47.6
790-67-0041,Indonesia,3,79,75,6,109,9814.26,73,1155.7
680-96-6640,Italy,6,59,54,5,168,9647.9,47,1750.9
494-62-6460,China,0,64,78,1,74,6055.6,23,484.1
183-30-9487,Russia,5,74,33,8,178,5839.49,33,1123
798-72-7287,Czech Republic,0,56,62,10,25,8436.02,93,228
711-28-5073,Philippines,3,68,57,8,181,11277.87,28,2204.9
812-04-2085,Indonesia,7,76,43,7,170,353.16,71,65.4
493-16-1044,Ukraine,2,61,41,5,22,2625.51,67,62.6
192-20-8060,Honduras,6,58,37,3,76,7417.8,78,609.3
866-24-5295,Palestinian Territory,0,75,77,7,103,3740.43,1,416.3
447-82-9302,Ukraine,2,56,80,10,191,11228.06,64,2316.4
482-90-4861,Kosovo,5,55,78,2,98,2726.58,58,289
333-62-4074,Japan,4,63,82,6,190,9504.1,0,1950.6
103-32-4044,China,7,69,34,3,29,2718.2,22,85.6
611-17-0205,Colombia,1,61,30,7,181,9012.29,7,1761.9
330-91-2555,Greece,5,69,65,9,153,8332.83,3,1377.3
304-91-8646,Indonesia,7,69,44,5,23,4390.96,24,109.5
208-23-7002,Russia,7,81,71,5,161,3450.22,99,600.5
229-67-2707,China,1,74,35,7,185,10523.61,63,2102.8
801-12-6636,Philippines,7,61,30,10,121,5562.95,49,727.4
538-20-1796,China,6,67,59,6,70,2771.13,59,210
158-29-2860,China,3,57,30,3,174,1396.16,6,262.6
733-33-6186,Ukraine,6,67,43,10,55,4325.3,75,257.4
525-72-1409,China,6,65,68,2,26,8695.58,92,244.6
166-84-4221,Canada,2,80,30,5,61,4804.05,80,316.8
578-02-1282,Brazil,6,53,50,2,71,2354.22,40,180.9
258-85-5441,China,5,57,46,0,98,9417.79,82,997.2
637-92-0719,Honduras,0,69,79,0,143,11195.22,87,1729.2
658-05-9229,Colombia,1,61,70,0,28,622.83,10,19
495-14-5207,Mexico,6,77,41,2,124,7427.11,33,995.1
212-32-2051,Portugal,1,78,52,2,155,10943.08,13,1832.1
346-58-0431,China,6,55,61,5,4,11356.61,23,49.5
291-54-8639,Argentina,2,54,75,0,36,7263.08,72,282.7
462-72-6866,Russia,2,81,71,7,106,5221.33,45,598
469-88-5275,Mexico,3,54,81,1,78,9587.15,14,807.9
430-17-4208,Czech Republic,7,83,54,8,140,262.14,65,40.2
204-63-4494,Indonesia,3,55,79,8,116,11299.17,59,1415.9
626-16-5630,Bolivia,4,58,33,8,143,9880.72,13,1526.3
865-52-5098,Portugal,1,83,84,4,118,7437.46,75,948.1
252-04-7983,Philippines,6,66,85,3,116,2434.98,100,305.6
515-98-0132,Iraq,2,66,30,2,198,11213.8,91,2398.2
554-99-0016,Benin,6,62,72,3,196,2987.68,20,632.9
772-94-7811,Argentina,1,84,69,2,80,8493.98,30,734.1
100-12-1951,Russia,0,83,61,6,99,4365.14,90,467
709-34-5213,Egypt,2,74,48,6,151,4728.76,11,771.4
175-22-7355,Portugal,2,60,44,10,67,4355.34,49,315.4
370-68-5457,China,0,53,49,10,126,2249.43,84,306.3
691-88-9138,Portugal,2,53,85,7,155,10092.34,53,1689.7
524-97-5501,Egypt,5,77,65,3,5,6154.73,28,33.6
169-32-9462,Vietnam,7,73,53,9,195,740.58,92,156.5
262-48-2206,Croatia,2,55,52,4,42,656.91,77,30.1
566-16-2972,Russia,7,79,84,2,187,601.39,76,122
441-06-0271,Sierra Leone,4,66,50,0,118,10566.17,7,1346.9
896-19-3876,China,6,59,37,9,144,1001.31,20,156.1
472-11-6007,Indonesia,5,59,41,4,80,6559.36,73,567.1
337-38-9197,China,6,83,53,3,74,941.47,35,75.7
115-25-3643,France,6,70,53,6,48,831.05,96,43.6
866-63-5166,China,0,59,44,6,19,1129.82,90,23.4
875-05-2675,Morocco,2,74,56,3,181,2056.29,52,402.2
549-43-6004,Nigeria,0,85,81,5,150,3595.72,39,582.7
612-31-8021,China,0,59,33,4,70,5484.06,93,414.8
426-45-8501,American Samoa,2,83,49,3,42,2460.92,18,111.9
384-97-9669,Indonesia,3,66,81,3,197,10023.47,83,2132.9
150-37-6953,Thailand,7,83,35,1,14,10711.23,90,162.5
863-16-6112,Philippines,7,65,45,9,3,8924.9,49,29.4
657-17-2381,Philippines,4,63,82,5,34,5834.54,41,214.6
725-75-3484,South Africa,0,81,30,8,163,9863.4,91,1736.6
410-60-1192,Indonesia,4,79,37,5,129,8327.42,75,1160.6
854-02-6880,Guatemala,0,73,85,5,58,3961.28,93,248.4
172-28-2140,China,5,78,53,8,136,952.78,56,140.4
594-37-0723,Philippines,0,84,41,4,16,10396.89,20,179.8
834-79-1280,China,1,53,58,3,110,4241.66,51,504.1
578-29-9188,Ukraine,1,58,54,0,104,10975.22,16,1232.9
525-78-9124,Belarus,4,67,82,2,156,7040.67,66,1186.6
123-86-8716,China,6,70,34,1,90,8708.39,97,846.9
191-96-9509,Laos,4,60,30,2,31,1680.38,78,56.6
429-18-4640,China,2,59,64,0,163,2145.33,60,377.9
483-79-3924,China,5,56,69,5,37,2168.9,27,87.1
219-69-0207,Indonesia,7,80,83,10,181,4691.74,81,917.7
157-95-7174,Morocco,4,76,52,1,186,5646.24,12,1134.6
326-98-1789,Mongolia,4,55,61,5,82,3458.04,76,306.6
582-62-0322,China,2,67,52,8,91,7305.49,92,718.3
702-06-5748,Canada,0,74,79,5,132,7672.3,62,1094
738-99-9946,Greece,2,73,38,4,139,5700.34,55,856
782-80-8456,Mexico,4,73,51,10,165,353.36,100,63.4
864-27-5270,Colombia,1,62,50,10,179,2665.59,61,515.5
598-06-8298,Jamaica,3,74,45,10,45,5189.77,52,252.5
642-28-7620,China,6,78,46,0,104,5746.04,27,645.8
609-31-9496,China,3,62,81,4,161,10141.28,24,1763.7
191-37-5036,Brazil,0,72,69,0,53,7605.89,18,435.5
107-02-8934,Central African Republic,7,62,64,6,70,8632.02,50,653.1
508-19-0880,China,7,81,56,7,144,5309.27,9,826.2
761-17-2166,China,4,68,62,3,44,7580.61,5,360.6
284-79-0359,China,7,53,74,9,64,10358.4,70,716.5
801-77-0203,Brazil,3,74,81,7,63,9268.75,83,631
307-85-6982,Portugal,5,81,68,4,169,8082.2,11,1475.6
673-54-5412,Kuwait,1,78,48,5,31,5097.51,43,170.9
584-07-8731,Venezuela,5,62,67,5,83,10134.11,45,908.8
486-33-9498,Brazil,7,76,56,4,0,2986.62,71,0.5
217-12-7640,Sweden,3,75,72,4,73,2669.83,51,210.8
636-47-2971,Philippines,3,60,33,1,50,6382.52,52,344.9
734-06-6084,New Zealand,3,77,49,1,135,11313.45,65,1649.8
428-72-1057,Indonesia,7,67,70,6,66,7368.42,10,525.7
217-69-5619,Indonesia,6,81,34,6,120,6095.83,18,790.5
491-20-1481,Cameroon,5,77,52,4,32,10873.33,92,376.2
483-57-5306,Venezuela,6,55,64,2,1,10707.53,53,12
418-87-4976,United States,4,67,42,5,166,3151.26,12,565.3
617-62-6012,Russia,5,65,78,7,26,9838.16,50,276.7
744-59-3260,China,5,75,71,1,10,5977.68,17,65
147-80-3468,Poland,5,57,57,7,166,8031.64,40,1440.3
149-91-6646,Honduras,2,70,32,0,171,2244.93,84,414.9
708-62-4732,Paraguay,6,53,60,0,51,5806.08,1,320.2
774-64-2039,Philippines,2,77,35,2,159,5204.08,6,893.9
426-40-1257,China,4,66,68,0,25,2458.37,92,66.8
225-72-3771,Philippines,6,58,66,7,158,11215.77,74,1914.3
809-50-8532,Sweden,2,70,51,6,32,8131.78,63,281.3
708-23-1891,Indonesia,2,70,69,4,109,1901.12,11,224.1
799-96-3248,Syria,4,66,48,8,62,3510.44,62,235.4
777-63-0779,Venezuela,7,53,43,8,22,10837.64,70,258
203-54-4188,Guatemala,2,81,74,0,111,1570.47,77,188.6
217-14-5700,Pakistan,3,60,31,0,153,9847.11,93,1627.4
207-77-4286,Philippines,1,61,31,6,58,681.03,44,42.9
332-97-3396,China,6,81,69,2,36,2808.17,31,109.6
888-22-9769,Iraq,0,79,42,10,180,3697.08,34,718.9
799-50-3958,Russia,7,56,40,8,21,5362.68,81,122.1
578-97-3617,Vietnam,0,68,76,1,200,3559.24,86,769
199-44-2309,Russia,5,63,67,0,142,982.4,40,151.1
611-42-2054,El Salvador,6,54,43,2,125,1220.29,35,165.1
281-76-1769,Colombia,0,83,83,9,114,6885.51,63,848
207-29-9869,Kazakhstan,4,64,77,10,133,2272.36,71,326.8
259-83-6371,Iraq,2,76,53,5,159,4151.58,8,713.2
800-69-1195,Yemen,1,69,57,4,113,3544.06,33,432.7
269-81-0423,China,6,71,60,3,62,9814.65,67,657.7
628-85-2005,Guatemala,5,81,34,2,139,9200.79,52,1381.6
115-82-0382,Poland,0,69,79,2,159,8903.33,46,1529.1
872-02-4633,Bulgaria,0,74,71,0,122,9098.93,63,1199.1
498-07-3382,Luxembourg,3,79,50,6,76,9866.74,20,810.2
670-62-5541,China,0,57,47,9,104,1836.08,28,206.4
855-23-8727,Russia,5,66,70,5,177,10886.37,1,2081.4
771-04-2292,Russia,0,80,74,6,69,4716.45,98,351.7
860-40-4548,France,0,61,75,1,139,2884.06,93,433.2
231-16-2290,Indonesia,1,78,61,3,9,319.99,15,3.3
690-89-4227,Portugal,1,59,37,6,13,6749.88,7,94.9
487-15-1653,Japan,1,61,77,6,73,2777.52,38,219.2
800-60-6852,Indonesia,3,70,43,5,49,4443.85,46,235.5
287-16-5697,France,1,84,57,10,137,6859.44,66,1015.2
284-18-7736,Czech Republic,5,66,35,3,56,1979.71,25,120.1
657-47-8633,Thailand,6,68,41,6,64,8819.2,39,610
896-50-9731,Philippines,0,75,42,4,93,3368.43,38,338.5
690-14-7494,Honduras,5,81,56,1,77,7922.83,33,659.3
568-46-1417,South Korea,6,66,34,2,169,6955.67,30,1270
146-11-2216,Philippines,6,57,63,9,160,2786.03,38,481.9
752-42-9683,Ecuador,2,65,45,6,108,3115.71,52,363.7
721-31-7227,China,1,85,73,2,193,3040.67,9,634
121-03-0975,China,7,69,78,1,118,9333.54,95,1190
536-33-5474,Philippines,7,57,49,8,116,9490.72,11,1189.4
885-79-2836,Indonesia,6,62,32,0,35,1754.99,19,66.7
659-30-6182,Iran,3,55,41,5,39,2665.35,85,112.6
557-15-7260,Chile,7,69,69,3,48,3937.51,43,204.6
708-23-3087,Brazil,3,69,34,10,29,9032.47,92,283.2
400-57-4895,Philippines,4,61,38,1,96,10411.37,72,1079.8
629-23-0509,South Korea,1,85,38,9,91,4497.2,90,442.3
738-53-1801,Ukraine,4,68,37,10,46,825.99,96,41.4
622-50-4713,Mexico,0,65,67,8,126,9197.32,57,1251.8
232-56-6994,Portugal,4,62,51,8,94,10703.72,75,1087
268-33-7711,Indonesia,4,54,36,9,163,10352.51,86,1822.8
862-85-1813,Macedonia,5,85,72,4,30,2353.74,66,76.7
289-98-8288,Indonesia,3,66,56,7,186,8643.04,28,1736.5
746-09-0361,China,7,64,47,3,12,5290.34,9,69
694-92-6648,China,7,84,42,8,37,2353.21,53,94.5
374-64-4598,Poland,4,79,63,9,22,9230.53,3,219.7
394-68-8315,Colombia,1,59,49,1,137,8435.17,1,1248.2
333-03-8881,Brazil,5,77,45,7,113,8195.79,22,1000.6
679-13-9397,China,3,59,56,6,16,9630.95,2,166.7
593-05-3117,Peru,5,68,68,3,27,8878.81,24,259.3
617-77-8859,Philippines,3,85,58,7,14,5476.54,55,83.2
642-21-3948,Poland,3,71,30,10,174,9652.05,75,1814.1
432-19-6900,Sweden,7,69,67,8,145,5615.05,82,879.8
332-82-0828,Portugal,2,75,53,10,68,5980.85,58,439.5
220-11-3599,Greece,0,58,35,9,171,3469.55,53,640.9
642-42-7300,Sweden,6,57,73,10,136,3678.33,61,540.7
581-36-0165,Indonesia,3,56,53,10,189,3193.09,65,652.1
370-09-5430,Brazil,7,73,35,0,174,6251.36,99,1175.3
217-67-6336,Indonesia,7,76,37,8,173,6454.14,28,1206.4
738-27-4454,Russia,7,57,85,9,45,4847.59,96,236.1
809-05-0982,Liberia,0,77,43,4,192,1035.82,93,215
216-25-1621,Peru,1,53,84,10,94,3093.36,74,314.3
743-37-3142,Morocco,3,67,67,9,83,11160.98,58,1000.8
154-49-8131,China,7,73,82,0,133,6097.38,7,876.3
611-11-7075,France,2,64,44,3,16,10257.54,100,177.5
208-19-8476,China,6,79,82,3,65,3817.55,76,268.5
638-38-0183,Russia,2,53,74,2,131,8146.41,96,1152.8
826-86-4058,Russia,3,78,51,2,103,5177.87,20,576.3
349-62-5965,Spain,3,58,84,8,195,10650.25,13,2243.2
162-84-5143,Poland,6,84,45,6,24,7157.71,32,186
720-81-9868,Jordan,3,78,52,10,125,7297.97,83,985.6
552-97-0806,Indonesia,2,84,45,10,89,9720.01,39,934.6
893-70-0234,Portugal,3,59,80,7,12,8208.11,88,106.7
563-02-8418,Ukraine,4,54,63,2,11,10228.13,84,121.9
641-63-6206,France,6,75,77,2,106,6346.28,2,727
649-56-6281,Sweden,2,66,66,1,155,1486.02,36,249
451-49-5357,Aland Islands,4,57,65,5,65,2976.65,30,209.3
461-07-9792,Portugal,4,66,57,8,126,5194.26,68,707.2
177-04-6313,Ukraine,7,65,85,4,91,1999.02,30,197
746-95-1270,Poland,2,84,81,2,35,753.01,14,28.8
773-11-7229,China,1,59,65,7,20,5189.79,65,112.3
859-17-2497,Argentina,4,53,41,8,56,652.02,13,39.7
494-25-0065,China,0,83,75,7,32,749.29,81,26.1
337-75-8903,Poland,3,53,32,1,90,7361.61,55,715.8
594-07-3860,Canada,6,60,47,8,188,2701.89,96,549.1
555-02-1494,Italy,4,59,74,5,87,3510.89,26,330.2
727-36-3574,China,3,66,84,7,77,10356.73,13,861.6
134-53-5575,Ukraine,7,56,81,4,109,9243.47,18,1088.6
579-63-0045,China,2,59,51,7,99,9315,59,996.2
722-78-0913,Albania,1,76,73,3,142,4463.93,27,684.8
420-29-1948,Nepal,2,72,54,9,33,9165,47,326.9
141-48-5122,Cuba,3,79,30,0,61,7246.96,63,477.7
794-86-7247,China,2,67,47,2,95,1581.66,45,162.5
775-38-3670,China,4,72,84,4,166,10501.46,71,1883.1
377-78-1917,Syria,4,76,82,5,161,4158.13,65,723.4
749-20-7280,Colombia,0,67,83,2,91,1393.04,19,137.1
519-08-6667,Sweden,6,81,47,6,53,2534.01,96,145.5
593-45-4394,Peru,5,66,57,9,100,5419.81,100,585.8
800-30-0204,Venezuela,3,68,72,9,187,2413.09,94,487.7
603-90-5815,Philippines,1,84,37,7,136,7493.01,13,1100.8
887-29-8128,Nepal,2,78,83,10,137,4822.39,61,713.8
318-62-6604,Ukraine,7,65,31,8,71,1368.88,95,105.5
753-72-1954,Brazil,1,78,52,0,15,6076.48,43,98.7
605-76-9919,Poland,4,53,78,5,75,2968.91,82,240.9
768-92-8424,United States,4,67,83,4,8,2969.15,20,26
630-38-4410,Argentina,3,73,62,6,128,8454.29,36,1169
416-14-6393,Denmark,5,73,74,5,129,8698.69,38,1212.3
667-64-4755,Indonesia,6,63,63,0,158,2424.69,37,414.2
536-87-3633,China,6,59,32,10,200,2101.71,21,454.4
547-20-6065,Indonesia,2,69,66,4,71,8999.46,30,690.3
529-98-7186,Portugal,1,77,58,6,125,8854.56,94,1195.6
779-25-4836,Moldova,0,83,62,6,177,5115.48,92,978.1
256-07-6432,France,7,55,34,8,166,6297.08,10,1129.4
158-26-8724,Portugal,6,64,77,1,199,11116.78,21,2389.7
787-51-1316,Russia,1,54,63,1,2,9959.4,34,21.7
642-25-7754,Russia,5,71,65,3,191,7554.54,9,1558.7
755-60-9788,Indonesia,6,55,77,0,0,8225.8,31,0.4
631-06-6493,Slovenia,5,83,37,10,117,780.94,71,99.1
828-17-0672,Netherlands,1,82,39,2,5,1870.84,90,10.4
202-27-1756,Israel,4,71,45,9,10,1270.77,62,14.1
723-13-6437,Greece,3,56,80,3,22,2096.15,53,50.1
217-33-4098,Venezuela,1,65,63,3,109,5012.78,36,590.3
630-68-6446,Canada,4,61,39,0,103,6628.92,78,737.8
481-90-0850,Iran,1,81,83,1,102,5311.08,97,585.4
858-33-7960,Russia,4,70,62,1,144,4161.46,12,647.5
192-50-3199,Canada,1,76,81,2,134,9514.98,25,1377.2
324-90-4078,Indonesia,7,81,52,1,20,6267.33,96,135.9
494-47-8475,China,2,56,43,3,74,1396.68,15,111.8
251-65-4992,China,5,82,67,3,60,9293.89,86,602.7
787-86-7382,Ukraine,5,75,56,1,17,6870.89,92,126.6
580-46-3530,China,0,84,47,5,135,4645.54,9,677.5
751-70-3991,China,4,71,70,7,190,10542.64,72,2163.7
717-88-3084,Indonesia,7,82,83,7,76,750.55,83,62.2
211-99-2561,Philippines,5,80,56,6,194,9940.37,55,2083.1
895-09-7414,Azerbaijan,6,78,66,10,138,9913.93,86,1478.1
325-53-1251,Japan,7,82,44,6,2,7239.76,81,16.2
373-52-5906,Kosovo,1,64,38,1,14,392.65,50,6.1
383-17-9722,Poland,3,67,45,4,21,1182.8,68,27.1
110-28-0674,Indonesia,0,71,34,1,107,2120.1,43,245.2
193-56-3595,China,5,74,46,7,142,5570,37,854.6
506-70-6802,China,7,69,58,7,94,1472.46,2,150
190-27-5331,Indonesia,5,55,61,7,172,4229.96,36,786.1
151-96-7538,China,7,85,69,3,195,375.6,52,79.6
467-38-1171,China,3,76,43,8,137,7461.55,29,1104.3
203-33-9753,Honduras,7,70,82,0,98,10838.39,60,1147.7
185-39-8015,France,2,67,52,8,184,9091.87,60,1807
313-08-9678,Thailand,4,71,75,0,0,1952.92,2,0.3
602-11-7100,France,7,68,37,7,21,9847.42,70,223.8
453-82-0553,Argentina,3,78,72,8,99,3765.72,17,403
843-08-7046,Portugal,6,73,38,8,75,307.61,67,25.4
150-21-3930,China,5,84,38,8,85,5662.49,58,520.2
781-91-5379,Brazil,7,60,34,7,170,9291.79,91,1706.5
606-17-5760,Argentina,7,58,36,0,62,2886.48,3,193.7
135-71-4371,China,7,59,41,5,142,5635.83,54,864.8
888-51-6281,Armenia,2,53,52,6,58,9540.17,35,597.8
273-12-4359,China,5,84,31,8,102,2742.62,47,302.5
202-56-1568,Malaysia,0,63,43,5,91,2326.7,24,228.8
548-40-3319,Portugal,6,62,47,1,150,3393.69,40,550.2
424-85-6288,Slovenia,5,76,48,10,21,3002.28,26,68.5
823-16-8935,Czech Republic,3,76,35,2,48,9297.34,93,482.3
391-65-1832,Argentina,1,61,73,8,67,3637.89,31,263.5
743-45-9060,United States,0,65,80,2,59,3242.27,47,206.8
530-29-7473,Brazil,0,67,33,6,150,3796.44,1,615.2
592-83-5922,Indonesia,4,74,66,3,61,1063.01,26,70.4
513-31-9742,Honduras,7,75,39,6,62,9011.6,80,603.9
844-71-4538,Philippines,0,79,83,10,113,6499.94,36,793.5
268-50-0737,China,3,85,34,2,110,4064.48,19,483.2
601-64-0800,Indonesia,7,65,71,8,114,11160.93,94,1374.7
472-04-3327,Slovenia,0,55,40,10,20,9314.59,6,201.3
404-49-8509,Russia,3,59,55,5,89,6891.66,36,662.7
129-13-2000,China,7,55,44,1,56,5167.13,60,313
431-81-7853,Indonesia,2,80,84,8,187,2933.34,95,592.8
492-44-7332,Indonesia,7,81,77,3,31,7195.59,35,241.4
873-58-9689,Indonesia,7,56,64,4,101,2763.17,61,301.9
152-89-1103,Sweden,2,84,32,4,100,10652.29,84,1150.7
615-80-7068,China,6,80,53,6,25,8501.15,47,230
899-82-0144,Russia,1,54,62,5,183,7407.18,42,1464.2
470-53-0897,France,5,76,69,8,0,1685.01,11,0.4
595-17-2729,Tuvalu,4,85,76,10,159,10094.64,32,1733.8
811-30-9692,China,7,82,45,1,196,3053.72,74,646.9
554-61-1993,Macedonia,3,63,77,8,37,7377.99,48,295.1
209-82-9382,China,3,79,33,9,84,3347.99,95,304.1
665-63-5935,Cyprus,5,64,47,2,51,2517.21,50,139
837-47-2160,Uzbekistan,0,77,30,6,18,7825.78,5,152.3
641-24-3292,Mongolia,7,84,72,5,28,9677.42,1,293.1
183-63-5022,China,5,79,34,4,18,6329.06,97,123.5
761-56-6331,Greece,2,73,64,5,183,10805.46,6,2135.8
645-08-6914,United States,6,59,67,2,4,10228.92,46,44.6
545-07-0885,Cape Verde,3,76,72,9,21,8621.26,65,195.9
124-97-7216,Kenya,3,70,33,2,44,925.49,65,44.3
389-63-9822,Ecuador,6,62,43,0,73,6605.63,22,521.2
332-16-2019,Bosnia and Herzegovina,4,58,53,9,48,1396.66,11,72.7
106-82-9003,Philippines,6,81,82,2,80,6342.28,91,548.5
836-29-0100,Iran,1,85,41,10,152,5093.16,38,836.3
443-29-8463,Philippines,5,84,59,8,93,8904.76,98,894.9
442-63-2299,Serbia,2,70,37,9,38,8844.25,86,363.3
324-75-8283,Indonesia,4,82,37,1,53,7859.98,85,450.3
881-85-3665,China,0,80,63,9,136,9226.53,36,1355.4
244-14-8288,Poland,0,62,38,1,163,11377.88,85,2003.1
299-75-4444,China,3,60,43,6,161,5393.3,99,938.1
253-91-2039,Paraguay,6,54,31,3,180,9600.48,39,1866.7
321-13-3127,Japan,6,69,53,0,194,9313.23,88,1951.8
217-32-6079,Japan,4,83,69,6,172,11278.97,34,2095.6
830-44-4101,Vietnam,4,85,80,4,183,1649.82,71,326.5
543-29-5998,China,0,80,33,10,103,3794.14,39,422.2
524-28-4003,Thailand,4,74,30,1,115,4340.53,93,539.5
182-87-0920,Indonesia,7,79,54,0,173,8879.51,3,1659.5
834-68-3191,Honduras,1,76,74,10,71,697.41,68,53.7
711-68-8981,China,1,77,79,3,43,9603.35,51,446.2
502-49-3276,Russia,4,58,80,8,30,10391.54,23,337
270-76-4825,China,6,56,69,7,99,7060.63,20,755.3
113-96-4627,Indonesia,4,70,68,10,86,815.04,52,76.1
614-07-9913,China,7,81,80,2,45,4671.57,13,227.5
273-89-0030,Azerbaijan,0,59,80,4,133,6126.2,57,880.2
258-03-4759,Oman,3,61,51,10,184,7517.25,60,1494.1
555-74-5914,Indonesia,2,80,83,9,115,9583.83,56,1190.6
769-09-6746,Peru,3,80,47,1,194,7586.07,46,1589.8
873-64-6629,Reunion,4,79,45,9,91,5329.11,63,524.1
576-60-0141,France,3,58,33,0,167,6731.31,96,1214.4
849-55-1000,Syria,0,53,62,4,104,7927.37,85,890.6
529-60-9983,Japan,4,79,68,3,82,6149.28,18,544.9
714-44-0636,Indonesia,3,63,85,5,167,11026.23,62,1989
195-87-7803,Indonesia,5,54,40,2,187,2756.94,74,557.2
827-70-4178,China,4,77,80,6,48,10227.82,88,530.6
277-82-0955,Finland,5,53,36,7,50,8318.46,32,449.6
504-10-3149,China,5,58,33,3,110,10553.76,73,1254.2
258-11-3668,Chile,2,61,32,10,89,6310.77,100,606.9
